kernel,n,comp,block_size,run,kernel_time,total_time
a,1048576,1,128,7,0.00019,0.18632
a,1048576,1,128,8,0.00019,0.177865
a,1048576,1,128,9,0.00019,0.188542
a,1048576,1,128,10,0.000215,0.178961
a,2097152,1,128,1,0.000244,0.229442
a,2097152,1,128,2,0.000237,0.217279
a,2097152,1,128,3,0.000246,0.224436
a,2097152,1,128,4,0.000248,0.230866
a,2097152,1,128,5,0.000273,0.217661
a,2097152,1,128,6,0.000244,0.221223
a,2097152,1,128,7,0.000244,0.219538
a,2097152,1,128,8,0.00032,0.226796
a,2097152,1,128,9,0.000249,0.226862
a,2097152,1,128,10,0.000262,0.229341
a,4194304,1,128,1,0.000334,0.300893
a,4194304,1,128,2,0.000339,0.297364
a,4194304,1,128,3,0.000333,0.305263
a,4194304,1,128,4,0.000344,0.298295
a,4194304,1,128,5,0.000335,0.298282
a,4194304,1,128,6,0.000344,0.299876
a,4194304,1,128,7,0.000346,0.306538
a,4194304,1,128,8,0.000334,0.311686
a,4194304,1,128,9,0.000461,0.319958
a,4194304,1,128,10,0.000332,0.311855
a,8388608,1,128,1,0.000501,0.466658
a,8388608,1,128,2,0.000503,0.468233
a,8388608,1,128,3,0.000504,0.465984
a,8388608,1,128,4,0.000502,0.476209
a,8388608,1,128,5,0.000503,0.478975
a,8388608,1,128,6,0.000508,0.474389
a,8388608,1,128,7,0.000499,0.585896
a,8388608,1,128,8,0.000503,0.474203
a,8388608,1,128,9,0.000507,0.471836
a,8388608,1,128,10,0.000505,0.484706
a,16777216,1,128,1,0.000837,0.790794
a,16777216,1,128,2,0.00084,0.791721
a,16777216,1,128,3,0.000836,0.791479
a,16777216,1,128,4,0.000832,0.788438
a,16777216,1,128,5,0.000836,0.792526
a,16777216,1,128,6,0.000833,0.793248
a,16777216,1,128,7,0.000835,0.795254
a,16777216,1,128,8,0.000829,0.790676
a,16777216,1,128,9,0.000829,0.807531
a,16777216,1,128,10,0.000838,0.794878
a,33554432,1,128,1,0.001502,1.420647
a,33554432,1,128,2,0.001497,1.414671
a,33554432,1,128,3,0.001535,1.412878
a,33554432,1,128,4,0.001527,1.419715
a,33554432,1,128,5,0.001498,1.414346
a,33554432,1,128,6,0.001506,1.41384
a,33554432,1,128,7,0.00151,1.472086
a,33554432,1,128,8,0.001496,1.422019
a,33554432,1,128,9,0.001495,1.417868
a,33554432,1,128,10,0.001495,1.414416
a,65536,1,256,1,0.000122,0.165865
a,65536,1,256,2,0.000116,0.153968
a,65536,1,256,3,0.000114,0.148263
a,65536,1,256,4,0.00011,0.142061
a,65536,1,256,5,0.000112,0.139514
a,65536,1,256,6,0.000114,0.138948
a,65536,1,256,7,0.000112,0.148258
a,65536,1,256,8,0.000115,0.138501
a,65536,1,256,9,0.00014,0.142964
a,65536,1,256,10,0.000113,0.138002
a,131072,1,256,1,0.000116,0.150325
a,131072,1,256,2,0.000115,0.151828
a,131072,1,256,3,0.000118,0.141484
a,131072,1,256,4,0.000115,0.141835
a,131072,1,256,5,0.000112,0.154021
a,131072,1,256,6,0.000115,0.151735
a,131072,1,256,7,0.000115,0.14971
a,131072,1,256,8,0.000115,0.141469
a,131072,1,256,9,0.000116,0.147061
a,131072,1,256,10,0.000115,0.14107
a,262144,1,256,1,0.000128,0.145447
a,262144,1,256,2,0.000129,0.153138
a,262144,1,256,3,0.000125,0.149749
a,262144,1,256,4,0.000125,0.152856
a,262144,1,256,5,0.000133,0.160631
a,262144,1,256,6,0.000137,0.149048
a,262144,1,256,7,0.000149,0.154356
a,262144,1,256,8,0.000181,0.155498
a,262144,1,256,9,0.000149,0.151868
a,262144,1,256,10,0.000128,0.153422
a,524288,1,256,1,0.000149,0.157523
a,524288,1,256,2,0.00015,0.169824
a,524288,1,256,3,0.000161,0.163787
a,524288,1,256,4,0.000152,0.163518
a,524288,1,256,5,0.000155,0.155527
a,524288,1,256,6,0.000144,0.155981
a,524288,1,256,7,0.000149,0.165576
a,524288,1,256,8,0.000149,0.157539
a,524288,1,256,9,0.000161,0.170119
a,524288,1,256,10,0.000148,0.167423
a,1048576,1,256,1,0.000195,0.177644
a,1048576,1,256,2,0.000209,0.183759
a,1048576,1,256,3,0.000196,0.177677
a,1048576,1,256,4,0.000199,0.191737
a,1048576,1,256,5,0.000196,0.191603
a,1048576,1,256,6,0.000189,0.192915
a,1048576,1,256,7,0.000193,0.186523
a,1048576,1,256,8,0.000204,0.188186
a,1048576,1,256,9,0.000188,0.178322
a,1048576,1,256,10,0.000188,0.183816
a,2097152,1,256,1,0.000242,0.225151
a,2097152,1,256,2,0.000244,0.230694
a,2097152,1,256,3,0.000239,0.216887
a,2097152,1,256,4,0.000247,0.229875
a,2097152,1,256,5,0.000249,0.226683
a,2097152,1,256,6,0.00025,0.228535
a,2097152,1,256,7,0.000254,0.226312
a,2097152,1,256,8,0.000266,0.23586
a,2097152,1,256,9,0.000264,0.220296
a,2097152,1,256,10,0.000256,0.223258
a,4194304,1,256,1,0.00039,0.304079
a,4194304,1,256,2,0.000368,0.299717
a,4194304,1,256,3,0.000755,0.312754
a,4194304,1,256,4,0.000335,0.310585
a,4194304,1,256,5,0.000333,0.313253
a,4194304,1,256,6,0.000331,0.304111
a,4194304,1,256,7,0.000376,0.308216
a,4194304,1,256,8,0.000362,0.297047
a,4194304,1,256,9,0.000328,0.299039
a,4194304,1,256,10,0.000346,0.299225
a,8388608,1,256,1,0.000513,0.459748
a,8388608,1,256,2,0.000505,0.452221
a,8388608,1,256,3,0.000521,0.479607
a,8388608,1,256,4,0.000495,0.485926
a,8388608,1,256,5,0.000502,0.484866
a,8388608,1,256,6,0.000502,0.473627
a,8388608,1,256,7,0.000507,0.473286
a,8388608,1,256,8,0.00051,0.467809
a,8388608,1,256,9,0.000508,0.469863
a,8388608,1,256,10,0.000508,0.475837
a,16777216,1,256,1,0.00084,0.796061
a,16777216,1,256,2,0.000834,0.803118
a,16777216,1,256,3,0.000838,0.790869
a,16777216,1,256,4,0.00083,0.793866
a,16777216,1,256,5,0.00084,0.820781
a,16777216,1,256,6,0.000991,0.805798
a,16777216,1,256,7,0.000842,0.790873
a,16777216,1,256,8,0.000831,0.791099
a,16777216,1,256,9,0.000833,0.799399
a,16777216,1,256,10,0.000837,0.902984
a,33554432,1,256,1,0.001502,1.454165
a,33554432,1,256,2,0.001612,1.458979
a,33554432,1,256,3,0.001497,1.487544
a,33554432,1,256,4,0.001495,1.42697
a,33554432,1,256,5,0.001491,1.459653
a,33554432,1,256,6,0.001498,1.416468
a,33554432,1,256,7,0.001499,1.423438
a,33554432,1,256,8,0.001508,1.429066
a,33554432,1,256,9,0.001497,1.413118
a,33554432,1,256,10,0.001499,1.415828
a,65536,64,16,1,0.000129,0.162115
a,65536,64,16,2,0.000124,0.154253
a,65536,64,16,3,0.000118,0.157988
a,65536,64,16,4,0.000121,0.139531
a,65536,64,16,5,0.000119,0.144163
a,65536,64,16,6,0.000117,0.145187
a,65536,64,16,7,0.000122,0.137778
a,65536,64,16,8,0.000126,0.139231
a,65536,64,16,9,0.000125,0.145562
a,65536,64,16,10,0.000122,0.138517
a,131072,64,16,1,0.000126,0.140665
a,131072,64,16,2,0.000131,0.14285
a,131072,64,16,3,0.000153,0.146717
a,131072,64,16,4,0.00013,0.142396
a,131072,64,16,5,0.000127,0.140863
a,131072,64,16,6,0.000129,0.145595
a,131072,64,16,7,0.000127,0.140357
a,131072,64,16,8,0.000125,0.141872
a,131072,64,16,9,0.000129,0.139305
a,131072,64,16,10,0.000129,0.139946
a,262144,64,16,1,0.00015,0.147801
a,262144,64,16,2,0.000174,0.152956
a,262144,64,16,3,0.000154,0.160611
a,262144,64,16,4,0.000157,0.146955
a,262144,64,16,5,0.000151,0.153254
a,262144,64,16,6,0.000183,0.153351
a,262144,64,16,7,0.000157,0.152689
a,262144,64,16,8,0.00016,0.152686
a,262144,64,16,9,0.000293,0.157995
a,262144,64,16,10,0.000158,0.153126
a,524288,64,16,1,0.000235,0.163947
a,524288,64,16,2,0.000195,0.156693
a,524288,64,16,3,0.000204,0.159023
a,524288,64,16,4,0.000207,0.169663
a,524288,64,16,5,0.000191,0.152097
a,524288,64,16,6,0.000194,0.157669
a,524288,64,16,7,0.000198,0.163455
a,524288,64,16,8,0.000216,0.159541
a,524288,64,16,9,0.00024,0.168082
a,524288,64,16,10,0.000221,0.162668
a,1048576,64,16,1,0.000293,0.182445
a,1048576,64,16,2,0.000329,0.178476
a,1048576,64,16,3,0.0003,0.177541
a,1048576,64,16,4,0.000293,0.186053
a,1048576,64,16,5,0.000279,0.189305
a,1048576,64,16,6,0.00028,0.181228
a,1048576,64,16,7,0.000275,0.172066
a,1048576,64,16,8,0.000276,0.18426
a,1048576,64,16,9,0.000281,0.191064
a,1048576,64,16,10,0.000277,0.174149
a,2097152,64,16,1,0.000407,0.225649
a,2097152,64,16,2,0.000406,0.219188
a,2097152,64,16,3,0.000412,0.225811
a,2097152,64,16,4,0.000408,0.218719
a,2097152,64,16,5,0.000408,0.221061
a,2097152,64,16,6,0.000404,0.216775
a,2097152,64,16,7,0.000407,0.21842
a,2097152,64,16,8,0.00046,0.229414
a,2097152,64,16,9,0.000449,0.223277
a,2097152,64,16,10,0.000444,0.22836
a,4194304,64,16,1,0.000654,0.297732
a,4194304,64,16,2,0.000653,0.3016
a,4194304,64,16,3,0.000659,0.298056
a,4194304,64,16,4,0.000645,0.303506
a,4194304,64,16,5,0.000647,0.297646
a,4194304,64,16,6,0.000745,0.30387
a,4194304,64,16,7,0.000788,0.315936
a,4194304,64,16,8,0.000791,0.314287
a,4194304,64,16,9,0.000879,0.346249
a,4194304,64,16,10,0.000723,0.313007
a,8388608,64,16,1,0.00124,0.459237
a,8388608,64,16,2,0.001346,0.474885
a,8388608,64,16,3,0.001235,0.466959
a,8388608,64,16,4,0.001506,0.476735
a,8388608,64,16,5,0.001504,0.47485
a,8388608,64,16,6,0.001473,0.478934
a,8388608,64,16,7,0.001486,0.480882
a,8388608,64,16,8,0.001369,0.469128
a,8388608,64,16,9,0.001346,0.467797
a,8388608,64,16,10,0.001355,0.465028
a,16777216,64,16,1,0.002811,0.794993
a,16777216,64,16,2,0.002818,0.793951
a,16777216,64,16,3,0.002824,0.793783
a,16777216,64,16,4,0.002817,0.79027
a,16777216,64,16,5,0.002817,0.783786
a,16777216,64,16,6,0.002816,0.795559
a,16777216,64,16,7,0.002821,0.805471
a,16777216,64,16,8,0.002866,0.797303
a,16777216,64,16,9,0.00285,0.793532
a,16777216,64,16,10,0.002852,0.79453
a,33554432,64,16,1,0.005447,1.416466
a,33554432,64,16,2,0.005467,1.452463
a,33554432,64,16,3,0.005451,1.423085
a,33554432,64,16,4,0.005444,1.421264
a,33554432,64,16,5,0.005501,1.420194
a,33554432,64,16,6,0.005519,1.423253
a,33554432,64,16,7,0.005434,1.41253
a,33554432,64,16,8,0.005445,1.419434
a,33554432,64,16,9,0.006151,1.464947
a,33554432,64,16,10,0.00552,1.45635
a,65536,64,32,1,0.000127,0.166235
a,65536,64,32,2,0.000124,0.151272
a,65536,64,32,3,0.000124,0.147024
a,65536,64,32,4,0.000122,0.147516
a,65536,64,32,5,0.000123,0.150174
a,65536,64,32,6,0.000151,0.139432
a,65536,64,32,7,0.000123,0.13969
a,65536,64,32,8,0.000124,0.139669
a,65536,64,32,9,0.000124,0.139501
a,65536,64,32,10,0.000121,0.149122
a,131072,64,32,1,0.000132,0.148652
a,131072,64,32,2,0.000129,0.142382
a,131072,64,32,3,0.000145,0.147987
a,131072,64,32,4,0.000133,0.153533
a,131072,64,32,5,0.00013,0.141068
a,131072,64,32,6,0.000128,0.147825
a,131072,64,32,7,0.000131,0.147195
a,131072,64,32,8,0.000128,0.140921
a,131072,64,32,9,0.00014,0.153037
a,131072,64,32,10,0.000129,0.153513
a,262144,64,32,1,0.000154,0.150471
